fsq_id,categories,chains,closed_bucket,distance,geocodes,link,location,name,related_places,timezone,id,alias,image_url,is_closed,url,review_count,rating,transactions,price,phone,display_phone,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,empty_slots,extra,free_bikes,latitude,longitude,timestamp
4b510060f964a520e93c27e3,"[{'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]","[{'id': 'ab4c54c0-d68a-012e-5619-003048cad9da', 'name': 'Starbucks'}]",VeryLikelyOpen,964.0,"{'main': {'latitude': 43.668619, 'longitude': -79.307823}, 'roof': {'latitude': 43.668619, 'longitude': -79.307823}}",/v3/places/4b510060f964a520e93c27e3,"{'address': '1842 Queen St E', 'country': 'CA', 'cross_street': 'Brookmount Rd.', 'formatted_address': '1842 Queen St E (Brookmount Rd.), Toronto ON M4L 6T3', 'locality': 'Toronto', 'postcode': 'M4L 6T3', 'region': 'ON'}",Starbucks,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
60280caaaa745f79d2f50e15,"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}]",[],VeryLikelyOpen,860.0,"{'drop_off': {'latitude': 43.666544, 'longitude': -79.315672}, 'main': {'latitude': 43.66665, 'longitude': -79.315696}, 'roof': {'latitude': 43.66665, 'longitude': -79.315696}}",/v3/places/60280caaaa745f79d2f50e15,"{'address': '1636 Queen St E', 'country': 'CA', 'cross_street': '', 'formatted_address': '1636 Queen St E, Toronto ON M4L 1G3', 'locality': 'Toronto', 'postcode': 'M4L 1G3', 'region': 'ON'}",Simple Coffee,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fd52f42e4b0b916eb02ab1b,"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13276, 'name': 'Sushi Restaurant', 'short_name': 'Sushi', 'plural_name': 'Sushi Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",[],LikelyOpen,913.0,"{'drop_off': {'latitude': 43.666686, 'longitude': -79.316707}, 'main': {'latitude': 43.666623, 'longitude': -79.316861}, 'roof': {'latitude': 43.666623, 'longitude': -79.316861}}",/v3/places/4fd52f42e4b0b916eb02ab1b,"{'address': '6 Coxwell Ave', 'country': 'CA', 'cross_street': 'Queen', 'formatted_address': '6 Coxwell Ave (Queen), Toronto ON M4L 3A7', 'locality': 'Toronto', 'postcode': 'M4L 3A7', 'region': 'ON'}",O Sushi,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c1169396e5dc9b61b10b02d,"[{'id': 13031, 'name': 'Burger Joint', 'short_name': 'Burgers', 'plural_name': 'Burger Joints', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'short_name': 'American', 'plural_name': 'American Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",[],VeryLikelyOpen,871.0,"{'main': {'latitude': 43.666763, 'longitude': -79.315564}, 'roof': {'latitude': 43.666709, 'longitude': -79.315659}}",/v3/places/4c1169396e5dc9b61b10b02d,"{'address': '1636 Queen St E', 'country': 'CA', 'cross_street': 'btwn Coxwell Ave. & Kingston Rd.', 'formatted_address': '1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3', 'locality': 'Toronto', 'postcode': 'M4L 1G3', 'region': 'ON'}",The Burger's Priest,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ba0153bf964a520995837e3,"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'short_name': 'Italian', 'plural_name': 'Italian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}, {'id': 13302, 'name': 'Mediterranean Restaurant', 'short_name': 'Mediterranean', 'plural_name': 'Mediterranean Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}]",[],VeryLikelyOpen,848.0,"{'main': {'latitude': 43.666794, 'longitude': -79.315251}, 'roof': {'latitude': 43.666794, 'longitude': -79.315251}}",/v3/places/4ba0153bf964a520995837e3,"{'address': '1646 Queen St E', 'country': 'CA', 'cross_street': 'at Eastern Ave,', 'formatted_address': '1646 Queen St E (at Eastern Ave,), Toronto ON M4L 1G3', 'locality': 'Toronto', 'postcode': 'M4L 1G3', 'region': 'ON'}",Casa Di Giorgios,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
504d2a68e4b04dcd186bf203,"[{'id': 13305, 'name': 'Burrito Restaurant', 'short_name': 'Burritos', 'plural_name': 'Burrito Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burrito_', 'suffix': '.png'}}]",[],LikelyOpen,884.0,"{'main': {'latitude': 43.666486, 'longitude': -79.316418}, 'roof': {'latitude': 43.666486, 'longitude': -79.316418}}",/v3/places/504d2a68e4b04dcd186bf203,"{'address': '1614 Queen St E', 'country': 'CA', 'cross_street': 'Coxwell Ave.', 'formatted_address': '1614 Queen St E (Coxwell Ave.), Toronto ON M4L 1G3', 'locality': 'Toronto', 'postcode': 'M4L 1G3', 'region': 'ON'}",Burrito Bandidos,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b1b0a31f964a520ebf623e3,"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","[{'id': 'd5774a30-d890-0132-61d3-7a163eb2a6fc', 'name': ""Harvey's""}]",VeryLikelyOpen,834.0,"{'main': {'latitude': 43.666527, 'longitude': -79.315069}, 'roof': {'latitude': 43.666527, 'longitude': -79.315069}}",/v3/places/4b1b0a31f964a520ebf623e3,"{'address': '1641 Queen St E', 'country': 'CA', 'formatted_address': '1641 Queen St E, Toronto ON M4L 1G4', 'locality': 'Toronto', 'postcode': 'M4L 1G4', 'region': 'ON'}",Harvey's,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b4d2e7bf964a52089cd26e3,"[{'id': 13039, 'name': 'Deli', 'short_name': 'Deli', 'plural_name': 'Delis', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","[{'id': 'ab4bee40-d68a-012e-5619-003048cad9da', 'name': 'Subway'}]",VeryLikelyOpen,873.0,"{'main': {'latitude': 43.666113, 'longitude': -79.316921}, 'roof': {'latitude': 43.666113, 'longitude': -79.316921}}",/v3/places/4b4d2e7bf964a52089cd26e3,"{'address': '1599 Queen St E', 'country': 'CA', 'cross_street': '', 'formatted_address': '1599 Queen St E, Toronto ON M4L 1E5', 'locality': 'Toronto', 'postcode': 'M4L 1E5', 'region': 'ON'}",Subway,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bcb77ed3740b71366966265,"[{'id': 13064, 'name': 'Pizzeria', 'short_name': 'Pizza', 'plural_name': 'Pizzerias', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'short_name': 'Fast Food', 'plural_name': 'Fast Food Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]","[{'id': 'd5740d80-d890-0132-61d3-7a163eb2a6fc', 'name': 'Pizza Pizza'}]",Unsure,283.0,"{'main': {'latitude': 43.662575, 'longitude': -79.30991}, 'roof': {'latitude': 43.662575, 'longitude': -79.30991}}",/v3/places/4bcb77ed3740b71366966265,"{'address': '1771 W Lake Shore Blvd', 'country': 'CA', 'cross_street': 'Woodbine ave', 'formatted_address': '1771 W Lake Shore Blvd (Woodbine ave), Toronto ON M4L 3V9', 'locality': 'Toronto', 'postcode': 'M4L 3V9', 'region': 'ON'}",Pizza Pizza,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ad4c05ff964a5200ff720e3,"[{'id': 13027, 'name': 'Bistro', 'short_name': 'Bistro', 'plural_name': 'Bistros', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'short_name': 'American', 'plural_name': 'American Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'short_name': 'French', 'plural_name': 'French Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",[],VeryLikelyOpen,967.0,"{'drop_off': {'latitude': 43.66845, 'longitude': -79.307178}, 'main': {'latitude': 43.668607, 'longitude': -79.307213}, 'roof': {'latitude': 43.668607, 'longitude': -79.307213}}",/v3/places/4ad4c05ff964a5200ff720e3,"{'address': '1862 Queen St E', 'country': 'CA', 'cross_street': 'Woodbine', 'formatted_address': '1862 Queen St E (Woodbine), Toronto ON M4L 1H1', 'locality': 'Toronto', 'postcode': 'M4L 1H1', 'region': 'ON'}",Sauvignon Bistro & Bakery Inc,{},America/Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,
